bps_kode_provinsi,bps_nama_provinsi,tahun,persentase,satuan
64,KalimantanTimur,2015,6.1,persentase
65,KalimantanUtara,2015,6.32,persentase
71,SulawesiUtara,2015,8.98,persentase
72,SulawesiTengah,2015,14.07,persentase
73,SulawesiSelatan,2015,10.12,persentase
74,SulawesiTenggara,2015,13.74,persentase
75,Gorontalo,2015,18.16,persentase
76,SulawesiBarat,2015,11.9,persentase
81,Maluku,2015,19.36,persentase
82,MalukuUtara,2015,6.22,persentase
91,PapuaBarat,2015,25.73,persentase
94,Papua,2015,28.4,persentase
11,Aceh,2016,16.43,persentase
12,SumatraUtara,2016,10.27,persentase
13,SumatraBarat,2016,7.14,persentase
14,Riau,2016,7.67,persentase
15,Jambi,2016,8.37,persentase
16,SumatraSelatan,2016,13.39,persentase
17,Bengkulu,2016,17.03,persentase
18,Lampung,2016,13.86,persentase
19,KepulauanBangkaBelitung,2016,5.04,persentase
21,KepulauanRiau,2016,5.84,persentase
31,DKIJakarta,2016,3.75,persentase
32,JawaBarat,2016,8.77,persentase
33,JawaTengah,2016,13.19,persentase
34,DIYogyakarta,2016,13.34,persentase
35,JawaTimur,2016,11.85,persentase
36,Banten,2016,5.36,persentase
51,Bali,2016,4.25,persentase
52,NusaTenggaraBarat,2016,16.02,persentase
53,NusaTenggaraTimur,2016,22.01,persentase
61,KalimantanBarat,2016,8.01,persentase
62,KalimantanTengah,2016,5.36,persentase
63,KalimantanSelatan,2016,4.52,persentase
64,KalimantanTimur,2016,6.0,persentase
65,KalimantanUtara,2016,6.99,persentase
71,SulawesiUtara,2016,8.2,persentase
72,SulawesiTengah,2016,14.09,persentase
73,SulawesiSelatan,2016,9.72,persentase
74,SulawesiTenggara,2016,12.77,persentase
75,Gorontalo,2016,17.63,persentase
76,SulawesiBarat,2016,11.19,persentase
81,Maluku,2016,19.26,persentase
82,MalukuUtara,2016,6.41,persentase
91,PapuaBarat,2016,24.88,persentase
94,Papua,2016,28.4,persentase
11,Aceh,2017,15.92,persentase
12,SumatraUtara,2017,9.28,persentase
13,SumatraBarat,2017,6.75,persentase
14,Riau,2017,7.41,persentase
15,Jambi,2017,7.9,persentase
16,SumatraSelatan,2017,13.1,persentase
17,Bengkulu,2017,15.59,persentase
18,Lampung,2017,13.04,persentase
19,KepulauanBangkaBelitung,2017,5.3,persentase
21,KepulauanRiau,2017,6.13,persentase
31,DKIJakarta,2017,3.78,persentase
32,JawaBarat,2017,7.83,persentase
33,JawaTengah,2017,12.23,persentase
34,DIYogyakarta,2017,12.36,persentase
35,JawaTimur,2017,11.2,persentase
36,Banten,2017,5.59,persentase
51,Bali,2017,4.25,persentase
52,NusaTenggaraBarat,2017,15.05,persentase
53,NusaTenggaraTimur,2017,21.38,persentase
61,KalimantanBarat,2017,7.73,persentase
62,KalimantanTengah,2017,5.26,persentase
63,KalimantanSelatan,2017,4.7,persentase
64,KalimantanTimur,2017,6.08,persentase
65,KalimantanUtara,2017,6.96,persentase
71,SulawesiUtara,2017,7.9,persentase
72,SulawesiTengah,2017,14.22,persentase
73,SulawesiSelatan,2017,9.48,persentase
74,SulawesiTenggara,2017,11.97,persentase
75,Gorontalo,2017,17.14,persentase
76,SulawesiBarat,2017,11.18,persentase
81,Maluku,2017,18.29,persentase
82,MalukuUtara,2017,6.44,persentase
91,PapuaBarat,2017,23.12,persentase
94,Papua,2017,27.76,persentase
11,Aceh,2022,14.75,persentase
12,SumatraUtara,2022,8.33,persentase
13,SumatraBarat,2022,6.04,persentase
14,Riau,2022,6.84,persentase
15,Jambi,2022,7.7,persentase
16,SumatraSelatan,2022,11.95,persentase
17,Bengkulu,2022,14.34,persentase
18,Lampung,2022,11.44,persentase
19,KepulauanBangkaBelitung,2022,4.61,persentase
21,KepulauanRiau,2022,6.03,persentase
31,DKIJakarta,2022,4.61,persentase
32,JawaBarat,2022,7.98,persentase
33,JawaTengah,2022,10.98,persentase
34,DIYogyakarta,2022,11.49,persentase
35,JawaTimur,2022,10.49,persentase
36,Banten,2022,6.24,persentase
51,Bali,2022,4.53,persentase
52,NusaTenggaraBarat,2022,13.82,persentase
53,NusaTenggaraTimur,2022,20.23,persentase
61,KalimantanBarat,2022,6.81,persentase
62,KalimantanTengah,2022,5.22,persentase
63,KalimantanSelatan,2022,4.61,persentase
64,KalimantanTimur,2022,6.44,persentase
65,KalimantanUtara,2022,6.86,persentase
71,SulawesiUtara,2022,7.34,persentase
72,SulawesiTengah,2022,12.3,persentase
73,SulawesiSelatan,2022,8.66,persentase
74,SulawesiTenggara,2022,11.27,persentase
75,Gorontalo,2022,15.51,persentase
76,SulawesiBarat,2022,11.92,persentase
81,Maluku,2022,16.23,persentase
82,MalukuUtara,2022,6.37,persentase
91,PapuaBarat,2022,21.43,persentase
94,Papua,2022,26.8,persentase
