Lokasi,pH,TDS (mg/L),Kekeruhan (NTU),DO (mg/L),BOD (mg/L),COD (mg/L),Suhu (C)
Kolam Budidaya 049,7.07,627,13.36,4.53,8.37,34,27.57
Danau Kota 050,6.91,381,18.03,6.42,4.26,41,28.2
Kanal Perkotaan 051,6.98,767,40.54,2.25,17.73,64,31.87
Drainase Pasar 052,6.17,636,33.3,3.26,14.45,103,30.79
Saluran Rumah Tangga 053,6.19,954,31.9,2.92,12.02,131,31.15
Outlet Industri Ringan 054,7.58,1294,29.44,3.02,8.7,113,30.99
Muara Sungai 055,7.55,1663,22.4,4.75,5.86,50,29.61
Pantai Dekat Muara 056,7.84,1240,9.89,7.07,4.71,51,30.46
Kolam Taman 057,7.17,389,4.0,5.37,3.72,30,28.46
Air Keran Sekolah 058,7.17,204,1.78,6.85,2.42,15,25.59
Embung Desa 059,6.68,436,16.13,4.77,7.5,49,29.35
Drainase Terminal 060,6.12,710,25.81,1.89,18.65,135,29.79
Sumber Mata Air 061,7.39,105,0.95,8.31,0.84,5,24.66
Air Galon Isi Ulang 062,6.8,99,1.46,7.16,0.58,3,26.87
Reservoir PDAM 063,7.31,128,1.6,7.76,1.24,12,27.0
Sumur Warga 064,7.39,382,8.15,7.18,2.79,21,27.27
Sungai Hulu 065,7.46,183,6.43,7.54,1.95,11,24.87
Sungai Tengah 066,7.07,450,11.78,6.05,3.68,20,27.0
Sungai Hilir 067,6.47,478,19.72,3.82,6.27,57,29.47
Irigasi Sawah 068,6.46,407,17.77,4.71,5.03,40,29.71
Kolam Budidaya 069,7.5,578,19.71,5.64,6.09,26,28.56
Danau Kota 070,7.53,591,19.32,5.16,6.36,37,28.81
Kanal Perkotaan 071,6.22,621,28.46,2.06,12.03,89,29.92
Drainase Pasar 072,6.07,823,25.32,3.04,11.3,92,30.98
Saluran Rumah Tangga 073,5.83,993,28.21,2.42,12.6,98,29.85
Outlet Industri Ringan 074,6.72,1309,21.86,4.11,16.32,80,29.87
Muara Sungai 075,7.22,1385,28.0,4.87,7.9,69,30.61
Pantai Dekat Muara 076,8.2,2145,6.79,5.04,2.61,23,30.68
Kolam Taman 077,7.41,293,12.39,6.33,2.67,31,28.74
Air Keran Sekolah 078,6.89,276,4.86,6.19,0.85,9,27.37
Embung Desa 079,7.56,391,17.44,4.17,6.8,44,27.36
Drainase Terminal 080,6.67,1068,44.81,1.64,25.77,131,30.89
Sumber Mata Air 081,7.4,80,1.66,7.75,1.23,9,22.85
Air Galon Isi Ulang 082,7.47,89,1.54,8.06,0.59,6,26.9
Reservoir PDAM 083,7.12,249,2.52,7.17,1.21,12,25.81
Sumur Warga 084,7.27,462,2.11,7.16,1.83,16,27.64
Sungai Hulu 085,7.1,95,6.18,6.53,1.42,19,25.19
Sungai Tengah 086,7.29,430,8.59,4.82,6.58,20,28.52
Sungai Hilir 087,6.69,653,22.43,4.99,7.7,61,27.33
Irigasi Sawah 088,6.6,509,13.51,5.08,6.37,44,28.28
Kolam Budidaya 089,7.7,432,17.25,4.45,5.38,30,28.08
Danau Kota 090,6.83,464,16.55,4.63,3.97,35,29.17
Kanal Perkotaan 091,6.98,761,24.79,2.22,10.75,66,29.13
Drainase Pasar 092,5.91,858,29.13,3.75,17.09,108,29.44
Saluran Rumah Tangga 093,6.67,905,51.05,2.65,17.63,101,29.74
Outlet Industri Ringan 094,6.11,1453,24.42,4.3,12.01,66,32.33
Muara Sungai 095,7.26,1034,19.26,4.76,9.96,36,31.06
Pantai Dekat Muara 096,8.09,1970,7.16,6.15,3.8,34,31.44
Kolam Taman 097,7.79,319,11.45,6.02,4.96,41,27.12
Air Keran Sekolah 098,6.97,245,1.54,6.31,0.94,5,26.58
Embung Desa 099,7.19,351,9.7,5.63,6.87,37,29.41
Drainase Terminal 100,6.82,1033,45.63,2.72,25.07,108,31.68
